team,n
Boston Red Sox,69
Chicago Cubs,69
Chicago White Sox,69
Cleveland Indians,69
Detroit Tigers,69
New York Yankees,69
Philadelphia Phillies,69
Pittsburgh Pirates,69
St. Louis Cardinals,69
Cincinnati Reds,68
Baltimore Orioles,67
Los Angeles Dodgers,63
San Francisco Giants,63
Minnesota Twins,60
New York Mets,59
Houston Astros,56
Atlanta Braves,55
Oakland Athletics,53
Kansas City Royals,52
San Diego Padres,52
Milwaukee Brewers,50
Montreal Expos,50
California Angels,49
Texas Rangers,49
Seattle Mariners,44
Toronto Blue Jays,44
Milwaukee Braves,39
Washington Senators,38
Brooklyn Dodgers,30
Colorado Rockies,28
Florida Marlins,28
New York Giants,26
Arizona Diamondbacks,24
Los Angeles Angels,23
Tampa Bay Devil Rays,21
Kansas City Athletics,20
Philadelphia Athletics,19
Washington Nationals,17
Boston Braves,14
St. Louis Browns,14
Tampa Bay Rays,13
Anaheim Angels,12
Houston Colt .45s,9
Miami Marlins,9
Homestead Grays,8
USA,6
Cincinnati Redlegs,5
Cleveland Naps,5
Cleveland Spiders,4
Seattle Pilots,4
Kansas City Monarchs,3
Boston Bees,2
Brooklyn Robins,2
Canada,2
Dominican Republic,2
Italy,2
Mexico,2
Pittsburgh Crawfords,2
Puerto Rico,2
Venezuela,2
Agoura High School,1
Aliso Niguel High School,1
Australia,1
Bellar Mine College Prep High School,1
Boston Americans,1
Boston Pilgrims,1
Brooklyn Royal Giants,1
Brother Rice High School,1
Calhoun High School,1
Canyon High School,1
Chicago American Giants,1
Chinese Taipei,1
Connally High School,1
Cuba,1
Cypress High School,1
Deland High School,1
Duncanville High School,1
East Bernard High School,1
El Modena High School,1
Estero Homeed High School,1
Fitch High School,1
Francis Parker High School,1
Grissom High School,1
Gulliver Prep High School,1
Henry County High School,1
Horizon High School,1
Hudson's Bay High School,1
Iowa City High School,1
Irving High School,1
Japan,1
Kempsville High School,1
Korea,1
Los Gattos High School,1
Miami Springs High School,1
Mission Bay High School,1
Netherlands,1
New York Black Yankees,1
Newark Eagles,1
Panama,1
Preston Woods High School,1
San Francisco Seals,1
Seton Hall Prep High School,1
South Africa,1
South Caldwell High School,1
St. Ignatius High School,1
Tom Ball High School,1
Yale University,1
